name,overview,popularity,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,first_air_year,in_production_True
The Facts of Life,"The Facts of Life is an American sitcom that originally ran on the NBC television network from August 24, 1979, to May 7, 1988, making it the longest running sitcom of the 1980s. A spin-off of the sitcom Diff'rent Strokes, the series' premise focuses on Edna Garrett as she becomes a housemother at the fictional Eastland School, an all-female boarding school in Peekskill, New York.",0.1766886968812643,0.71,0.0037534655576882065,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1979.0,False
Without a Trace,The series follows the ventures of a Missing Persons Unit of the FBI in New York City.,0.1764803606013645,0.7296,0.010449989336745574,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2002.0,False
DC's Legends of Tomorrow,"When heroes alone are not enough ... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat — one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?",0.1779342245546307,0.73,0.0961399018980593,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016.0,False
The Only Way Is Essex,"Part soap opera, part reality show, TOWIE follows the lives, loves and scandals of a group of real-life Essex guys and girls. Cameras capture the happenings at all kinds of glamorous locations as the cast meet up in nail bars, nightclubs and salons. Each episode features action filmed just a few days previously.",0.19156229086393778,0.47000000000000003,0.0007677543186180423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010.0,True
Late Show with David Letterman,"Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS. The show debuted on August 30, 1993, and is produced by Letterman's production company, Worldwide Pants Incorporated and CBS Television Studios. The show's music director and band-leader of the house band, the CBS Orchestra, is Paul Shaffer. The head writer is Matt Roberts and the announcer is Alan Kalter. Of the major U.S. late-night programs, Late Show ranks second in cumulative average viewers over time and third in number of episodes over time. The show leads other late night shows in ad revenue with $271 million in 2009.

In most U.S. markets the show airs at 11:35 p.m. Eastern/Pacific time, but is recorded Monday through Wednesday at 4:30 p.m., and Thursdays at 3:30 p.m and 6:00 p.m. The second Thursday episode usually airs on Friday of that week.

In 2002, Late Show with David Letterman was ranked No. 7 on TV Guide's 50 Greatest TV Shows of All Time. CBS has a contract with Worldwide Pants to continue the show through 2014; by then, Letterman will surpass Johnny Carson as the longest tenured late-night talk show host.",0.16955430179620448,0.6299000000000001,0.005715504371934315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993.0,False
Queen of Jhansi,"Ek Veer Stree Ki Kahaani... Jhansi Ki Rani is an Indian historical drama based on the life of Lakshmi Bai, the Rani of Jhansi, one of the leading figures of the Indian Rebellion of 1857. The series was directed by Jitendra Srivastava and written by Rajesh Saksham, Ila Dutta Bedi, Malavika Asthana and Mairaj Zaidi. It premiered on 18 August 2009 on Zee TV with Ulka Gupta playing Queen Lakshmi Bai. On 8 June 2010 the story moved on several years and Kratika Sengar portrayed the Queen from there on. The show's last episode went to air on 19 June 2011.",0.12268133282237066,0.5900000000000001,0.0002985711239070164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2009.0,False
The Flash,"After being struck by lightning, CSI investigator Barry Allen awakens from a nine-month coma to discover he has been  granted the gift of super speed.  Teaming up with S.T.A.R. Labs, Barry takes on the persona of The Flash, the Fastest  Man Alive, to protect his city.",0.22010615721262222,0.7785000000000001,0.4686713584986138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014.0,False
Iss Pyaar Ko Kya Naam Doon?,"Khushi and Arnav have diametrically opposite ideologies. If Khushi believes in means, Arnav believes only in ends. Khushi's relationships are the most important to her, whereas Arnav believes all people come with a price and can be manipulated for one's benefit.",0.12246895553704178,0.71,0.0005118362124120282,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011.0,False
Star Trek: Voyager,"Pulled to the far side of the galaxy, where the Federation is 75 years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",0.1744490818723415,0.7782,0.03800383877159309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,False
I Cesaroni,"I Cesaroni is an Italian television series produced since 2006 by Publispei and Mediaset RTI. The series is transmitted not only in Italy but also in Portugal, in the Czech Republic, Greece and Turkey. It is inspired by the Spanish series ""Los Serrano"". In Italy, the series is now in its fifth season and has been renewed for a sixth season.",0.15835241024646318,0.7250000000000001,0.0018767327788441032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0,False
Keeping Up with the Kardashians,"A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney and Khloé.",0.20037594820508642,0.7457,0.03749200255918106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0,False
Two and a Half Men,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,0.2089397367105363,0.7458,0.13248027297931328,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0,False
Való Világ,,0.19499826798017306,0.31000000000000005,0.00038387715930902113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002.0,True
Gold Rush,"Follow the lives of ambitious miners as they head north in pursuit of gold. With new miners, new claims, new machines and new ways to pull gold out of the ground, the stakes are higher than ever. But will big risks lead to an even bigger pay out?",0.1293815443241048,0.7000000000000001,0.006269993602047345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010.0,True
According to Jim,"According to Jim is an American sitcom television series starring Jim Belushi in the title role as a suburban father of three children. It originally ran on ABC from October 1, 2001 to June 2, 2009.",0.17913866867280137,0.6516000000000001,0.013521006611217743,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001.0,False
Law & Order: Criminal Intent,The third installment of the “Law & Order” franchise takes viewers deep into the minds of its criminals while following the intense psychological approaches the Major Case Squad uses to solve its crimes.,0.13372764566309195,0.755,0.014118148859031777,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2001.0,False
Jane the Virgin,"A comedy-drama following a chaste young woman who is accidentally impregnated via artificial insemination as she struggles to inform her devoutly religious family and make the right choices concerning the child. Based on the telenovela ""Juana la virgen.""",0.18165643955542654,0.7909,0.034762209426316915,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014.0,False
How I Met Your Mother,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,0.16516487189900542,0.8158,0.20452121987630625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0,False
Stargate SG-1,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",0.19566211537205203,0.82,0.06496054595862658,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1997.0,False
